title,Gross
Titanic,$659.33M
The Lord of the Rings: The Return of the King,$377.85M
Forrest Gump,$330.25M
Gone with the Wind,$198.68M
Gladiator,$187.71M
Dances with Wolves,$184.21M
Rain Man,$178.80M
A Beautiful Mind,$170.74M
Chicago,$170.69M
The Sound of Music,$163.21M
The Sting,$159.60M
Slumdog Millionaire,$141.32M
The King's Speech,$138.80M
Platoon,$138.53M
Argo,$136.03M
The Godfather,$134.97M
The Departed,$132.38M
The Silence of the Lambs,$130.74M
American Beauty,$130.10M
Rocky,$117.24M
One Flew Over the Cuckoo's Nest,$112.00M
Terms of Endearment,$108.42M
Driving Miss Daisy,$106.59M
Kramer vs. Kramer,$106.26M
Unforgiven,$101.16M
Million Dollar Baby,$100.49M
Shakespeare in Love,$100.32M
Schindler's List,$96.90M
Out of Africa,$87.10M
Green Book,$85.08M
The English Patient,$78.65M
Braveheart,$75.60M
Ben-Hur,$74.70M
No Country for Old Men,$74.28M
My Fair Lady,$72.00M
The Shape of Water,$63.86M
Patton,$61.70M
Chariots of Fire,$58.97M
The Godfather: Part II,$57.30M
12 Years a Slave,$56.67M
Ordinary People,$54.80M
Crash,$54.58M
Gisaengchung,$53.37M
Gandhi,$52.77M
Amadeus,$51.97M
The Deer Hunter,$48.98M
Spotlight,$45.06M
The Bridge on the River Kwai,$44.91M
Lawrence of Arabia,$44.82M
Midnight Cowboy,$44.79M
The Artist,$44.67M
The Last Emperor,$43.98M
West Side Story,$43.66M
Birdman or (The Unexpected Virtue of Ignorance),$42.34M
Around the World in 80 Days,$42.00M
Annie Hall,$39.20M
Tom Jones,$37.60M
The Greatest Show on Earth,$36.00M
From Here to Eternity,$30.50M
A Man for All Seasons,$28.35M
Moonlight,$27.85M
In the Heat of the Night,$24.38M
The Best Years of Our Lives,$23.65M
The Apartment,$18.60M
The Hurt Locker,$17.02M
Oliver!,$16.80M
Going My Way,$16.30M
The French Connection,$15.63M
Mrs. Miniver,$13.50M
On the Waterfront,$9.60M
The Lost Weekend,$9.46M
Cavalcade,$7.63M
Wings,$6.59M
The Broadway Melody,$6.12M
You Can't Take It with You,$4.66M
An American in Paris,$4.50M
Rebecca,$4.36M
It Happened One Night,$4.36M
All Quiet on the Western Front,$3.27M
Grand Hotel,$2.69M
Casablanca,$1.02M
Sunrise: A Song of Two Humans,$0.54M
All About Eve,$0.01M
