Film,Oscar Year,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,IMDB Votes,Production Company,Tomatometer Status,Tomatometer Rating,Tomatometer Count,Audience Rating,Audience Count,Tomatometer Top Critics Count,Tomatometer Fresh Critics Count,Tomatometer Rotten Critics Count,Film ID
Wings,1927/28,Famous Players-Lasky,Winner,1927,144,"Drama,Romance,War",7.5,"12,221","12,221",Unknown,Certified-Fresh,93.0,46.0,78.0,3530.0,9.0,43.0,3.0,2becf7d5-a3de-46ab-ae45-abdd6b588067
The Broadway Melody,1928/29,Metro-Goldwyn-Mayer,Winner,1929,100,"Drama,Musical,Romance",5.7,"6,890","6,890",MGM Home Entertainment,Rotten,33.0,24.0,21.0,1813.0,7.0,8.0,16.0,de063f3f-2d35-4e1c-8636-6eb4c16bd236
All Quiet on the Western Front,1929/30,Universal,Winner,1930,152,"Drama,War",8.1,"59,214","59,214",,,,,,,,,,281742f9-3b4e-480d-b704-c8c15de6b721
Cimarron,1930/31,RKO Radio,Winner,1931,123,"Drama,Western",5.9,"5,851","5,851",MGM Home Entertainment,Rotten,50.0,24.0,25.0,1514.0,6.0,12.0,12.0,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
Grand Hotel,1931/32,Metro-Goldwyn-Mayer,Winner,1932,112,"Drama,Romance",7.4,"18,314","18,314",MGM Home Entertainment,Certified-Fresh,86.0,42.0,77.0,7014.0,10.0,36.0,6.0,be69f946-6adc-47e4-8491-79d6c033f59d
Cavalcade,1932/33,Fox,Winner,1933,112,"Drama,Romance,War",5.9,"4,961","4,961",20th Century Fox Film Corporation,Rotten,59.0,29.0,26.0,1027.0,10.0,17.0,12.0,e71a2212-92c3-4212-9eb2-d468f10c768e
It Happened One Night,1934,Columbia,Winner,1934,105,"Comedy,Romance",8.1,"98,409","98,409",Sony Pictures Home Entertainment,Certified-Fresh,98.0,60.0,93.0,33678.0,15.0,59.0,1.0,88fe2d2b-3e07-4c9f-9978-388b4f7b0c93
Mutiny on the Bounty,1935,Metro-Goldwyn-Mayer,Winner,1935,132,"Adventure,Biography,Drama",7.7,"21,805","21,805",MGM,Certified-Fresh,93.0,41.0,83.0,8061.0,9.0,38.0,3.0,3cea2927-f5a4-4ffb-9e17-88566f2cd111
The Great Ziegfeld,1936,Metro-Goldwyn-Mayer,Winner,1936,176,"Biography,Drama,Musical",6.7,"7,665","7,665",MGM Home Entertainment,Fresh,62.0,34.0,50.0,2778.0,7.0,21.0,13.0,321ede7b-fac6-4259-b070-b403b3404042
The Life of Emile Zola,1937,Warner Bros.,Winner,1937,116,"Biography,Drama",7.2,"7,771","7,771",MGM Home Entertainment,Fresh,82.0,33.0,73.0,2348.0,9.0,27.0,6.0,0538990c-5cfe-4b21-b733-386740e5cbd6
